value,count
0,12
1,112
2,200
3,260
4,392
5,416
6,476
7,468
8,524
9,556
10,524
11,608
12,628
13,564
14,644
15,540
16,632
17,680
18,688
19,692
20,636
21,712
22,740
23,816
24,800
25,820
26,760
27,916
28,908
29,872
30,899
31,1004
32,1008
33,1029
34,992
35,1076
36,1132
37,1016
38,1116
39,1092
40,1132
41,1340
42,1296
43,1286
44,1368
45,1280
46,1396
47,1304
48,1320
49,1318
50,1315
51,1485
52,1524
53,1505
54,1707
55,1765
56,1680
57,1814
58,1740
59,1753
60,1817
61,2001
62,1969
63,1920
64,1965
65,1962
66,1897
67,1979
68,1868
69,1908
70,2062
71,1941
72,1953
73,2049
74,2204
75,2047
76,2055
77,2217
78,2035
79,2050
80,2061
81,1995
82,2244
83,2091
84,2387
85,2243
86,2241
87,2198
88,2232
89,2211
90,2246
91,2130
92,2007
93,2159
94,2165
95,2176
96,1980
97,2125
98,2090
99,2006
100,1966
101,1929
102,1913
103,1951
104,1966
105,1884
106,2033
107,1946
108,1902
109,1607
110,1896
111,1898
112,1754
113,1828
114,1671
115,1864
116,1863
117,1820
118,1704
119,1685
120,1779
121,1777
122,1733
123,1580
124,1573
125,1575
126,1438
127,1709
128,1492
129,1526
130,1552
131,1493
132,1582
133,1516
134,1262
135,1283
136,1427
137,1366
138,1397
139,1416
140,1348
141,1416
142,1140
143,1352
144,1340
145,1312
146,1243
147,1180
148,1323
149,1183
150,1196
151,1124
152,1288
153,1237
154,1352
155,1388
156,1367
157,1356
158,1360
159,1320
160,1300
161,1284
162,1028
163,864
164,732
165,588
166,348
167,347
168,204
169,148
170,80
171,52
172,24
173,24
174,4
175,0
176,4
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
