value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,4
13,0
14,3
15,4
16,1
17,8
18,5
19,5
20,4
21,4
22,8
23,5
24,2
25,2
26,5
27,3
28,6
29,10
30,5
31,7
32,9
33,9
34,5
35,4
36,7
37,4
38,5
39,4
40,6
41,11
42,7
43,9
44,12
45,10
46,11
47,9
48,6
49,20
50,16
51,16
52,20
53,33
54,30
55,21
56,20
57,18
58,30
59,32
60,44
61,41
62,47
63,35
64,46
65,55
66,58
67,49
68,55
69,38
70,48
71,66
72,59
73,61
74,69
75,68
76,53
77,54
78,57
79,57
80,70
81,64
82,63
83,45
84,58
85,62
86,47
87,68
88,54
89,57
90,78
91,54
92,74
93,68
94,68
95,71
96,72
97,73
98,69
99,81
100,82
101,74
102,85
103,84
104,86
105,81
106,107
107,78
108,83
109,93
110,101
111,94
112,112
113,118
114,103
115,133
116,100
117,125
118,123
119,109
120,108
121,107
122,140
123,127
124,116
125,139
126,135
127,118
128,102
129,135
130,135
131,126
132,117
133,135
134,128
135,122
136,118
137,120
138,116
139,99
140,109
141,115
142,108
143,106
144,84
145,89
146,82
147,88
148,75
149,89
150,86
151,62
152,60
153,76
154,52
155,55
156,65
157,45
158,53
159,55
160,40
161,49
162,49
163,37
164,28
165,24
166,31
167,23
168,18
169,26
170,19
171,30
172,11
173,12
174,17
175,12
176,12
177,5
178,5
179,10
180,6
181,7
182,4
183,3
184,4
185,3
186,1
187,2
188,2
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,2
199,1
200,0
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
