value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,3
77,0
78,1
79,1
80,2
81,2
82,0
83,2
84,1
85,8
86,3
87,8
88,7
89,13
90,17
91,14
92,16
93,12
94,17
95,13
96,22
97,21
98,25
99,19
100,28
101,23
102,35
103,24
104,31
105,27
106,26
107,35
108,26
109,34
110,23
111,26
112,21
113,19
114,18
115,16
116,12
117,14
118,10
119,7
120,15
121,10
122,10
123,6
124,6
125,2
126,5
127,5
128,2
129,1
130,3
131,4
132,2
133,1
134,1
135,4
136,1
137,2
138,1
139,1
140,1
141,2
142,2
143,3
144,0
145,0
146,0
147,0
148,0
149,2
150,2
151,0
152,0
153,0
154,0
155,0
156,0
157,2
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
