value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,3
85,0
86,1
87,2
88,0
89,1
90,2
91,0
92,3
93,0
94,0
95,1
96,0
97,1
98,2
99,4
100,2
101,2
102,0
103,2
104,2
105,2
106,1
107,4
108,2
109,2
110,1
111,4
112,6
113,4
114,1
115,4
116,6
117,3
118,6
119,2
120,4
121,3
122,4
123,4
124,2
125,3
126,4
127,5
128,6
129,4
130,1
131,8
132,8
133,4
134,5
135,2
136,4
137,3
138,7
139,5
140,8
141,12
142,5
143,2
144,5
145,12
146,7
147,4
148,2
149,4
150,10
151,5
152,4
153,7
154,9
155,12
156,9
157,15
158,6
159,11
160,9
161,10
162,7
163,7
164,8
165,7
166,13
167,7
168,8
169,14
170,13
171,11
172,12
173,13
174,19
175,7
176,22
177,12
178,11
179,16
180,26
181,16
182,24
183,28
184,17
185,17
186,20
187,10
188,24
189,23
190,20
191,9
192,20
193,19
194,26
195,28
196,28
197,33
198,25
199,14
200,24
201,28
202,31
203,24
204,29
205,42
206,30
207,34
208,32
209,25
210,47
211,33
212,32
213,35
214,27
215,27
216,30
217,18
218,14
219,10
220,5
221,14
222,7
223,2
224,3
225,1
226,3
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
