value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,2
36,3
37,1
38,0
39,4
40,3
41,6
42,6
43,6
44,15
45,17
46,18
47,11
48,18
49,20
50,19
51,17
52,25
53,29
54,21
55,30
56,28
57,32
58,21
59,43
60,37
61,42
62,39
63,36
64,34
65,40
66,50
67,46
68,54
69,54
70,50
71,59
72,53
73,66
74,71
75,61
76,62
77,62
78,69
79,52
80,76
81,68
82,58
83,49
84,65
85,70
86,59
87,57
88,61
89,53
90,62
91,44
92,55
93,35
94,54
95,44
96,48
97,37
98,34
99,38
100,47
101,33
102,34
103,39
104,34
105,24
106,31
107,25
108,19
109,25
110,23
111,20
112,15
113,26
114,18
115,14
116,17
117,14
118,13
119,8
120,5
121,6
122,9
123,6
124,4
125,9
126,4
127,5
128,4
129,3
130,5
131,5
132,4
133,3
134,2
135,3
136,4
137,1
138,1
139,1
140,0
141,1
142,1
143,2
144,0
145,0
146,1
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
