value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,2
42,8
43,12
44,17
45,10
46,21
47,21
48,26
49,28
50,20
51,46
52,36
53,59
54,37
55,69
56,88
57,59
58,82
59,111
60,84
61,67
62,88
63,111
64,120
65,149
66,160
67,161
68,153
69,173
70,210
71,231
72,207
73,244
74,232
75,175
76,207
77,182
78,215
79,218
80,202
81,190
82,278
83,266
84,270
85,222
86,203
87,202
88,223
89,263
90,259
91,228
92,273
93,216
94,280
95,287
96,277
97,327
98,312
99,320
100,254
101,246
102,280
103,312
104,320
105,268
106,308
107,284
108,405
109,352
110,332
111,384
112,290
113,335
114,396
115,360
116,344
117,365
118,396
119,336
120,297
121,371
122,400
123,408
124,376
125,417
126,492
127,452
128,416
129,352
130,404
131,448
132,492
133,472
134,504
135,488
136,424
137,572
138,476
139,500
140,436
141,420
142,472
143,444
144,480
145,428
146,444
147,492
148,539
149,500
150,528
151,452
152,492
153,468
154,436
155,444
156,448
157,480
158,432
159,440
160,456
161,424
162,404
163,460
164,460
165,388
166,368
167,304
168,364
169,400
170,408
171,360
172,384
173,340
174,368
175,356
176,284
177,304
178,308
179,216
180,284
181,224
182,280
183,236
184,204
185,260
186,228
187,268
188,228
189,220
190,192
191,208
192,192
193,156
194,184
195,132
196,136
197,156
198,132
199,100
200,108
201,120
202,116
203,96
204,84
205,96
206,88
207,92
208,72
209,72
210,56
211,48
212,36
213,56
214,64
215,64
216,52
217,48
218,44
219,32
220,24
221,40
222,32
223,20
224,32
225,40
226,28
227,20
228,36
229,28
230,12
231,24
232,8
233,8
234,4
235,8
236,20
237,8
238,20
239,16
240,28
241,8
242,4
243,4
244,8
245,8
246,4
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
