value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,4
10,8
11,9
12,5
13,18
14,27
15,34
16,32
17,48
18,52
19,47
20,64
21,79
22,76
23,82
24,93
25,113
26,108
27,109
28,105
29,116
30,109
31,94
32,111
33,131
34,97
35,104
36,122
37,124
38,109
39,118
40,130
41,135
42,139
43,141
44,141
45,126
46,143
47,145
48,142
49,150
50,159
51,155
52,180
53,139
54,176
55,179
56,173
57,167
58,179
59,191
60,212
61,191
62,220
63,233
64,219
65,203
66,189
67,235
68,185
69,216
70,204
71,198
72,233
73,239
74,243
75,219
76,205
77,196
78,199
79,193
80,223
81,207
82,221
83,210
84,209
85,217
86,224
87,207
88,221
89,200
90,240
91,245
92,224
93,245
94,208
95,249
96,233
97,237
98,252
99,264
100,236
101,215
102,229
103,254
104,245
105,235
106,239
107,240
108,253
109,261
110,225
111,258
112,269
113,270
114,295
115,282
116,286
117,311
118,312
119,305
120,285
121,276
122,297
123,282
124,283
125,270
126,311
127,297
128,322
129,342
130,319
131,284
132,315
133,294
134,300
135,269
136,275
137,272
138,287
139,261
140,224
141,229
142,219
143,201
144,187
145,174
146,160
147,135
148,160
149,167
150,131
151,119
152,106
153,105
154,93
155,122
156,86
157,81
158,60
159,72
160,60
161,54
162,57
163,64
164,42
165,47
166,23
167,29
168,21
169,30
170,17
171,11
172,14
173,9
174,4
175,5
176,2
177,1
178,3
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
