value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,16
87,0
88,0
89,0
90,0
91,0
92,0
93,18
94,0
95,28
96,0
97,5
98,20
99,10
100,12
101,4
102,9
103,20
104,4
105,3
106,26
107,12
108,49
109,35
110,23
111,55
112,11
113,18
114,18
115,21
116,0
117,48
118,22
119,32
120,0
121,68
122,65
123,55
124,45
125,108
126,87
127,54
128,88
129,17
130,50
131,115
132,160
133,107
134,112
135,60
136,16
137,181
138,101
139,59
140,194
141,124
142,96
143,116
144,113
145,65
146,144
147,146
148,110
149,166
150,188
151,206
152,134
153,157
154,109
155,103
156,108
157,148
158,264
159,184
160,116
161,219
162,118
163,141
164,120
165,193
166,153
167,187
168,200
169,178
170,116
171,137
172,60
173,132
174,211
175,72
176,48
177,135
178,57
179,125
180,108
181,88
182,153
183,57
184,57
185,64
186,48
187,40
188,116
189,41
190,56
191,72
192,24
193,53
194,16
195,45
196,44
197,28
198,16
199,16
200,28
201,12
202,16
203,72
204,40
205,44
206,20
207,16
208,21
209,16
210,16
211,0
212,28
213,32
214,0
215,16
216,12
217,16
218,0
219,28
220,0
221,16
222,9
223,0
224,16
225,0
226,16
227,16
228,0
229,0
230,0
231,12
232,0
233,0
234,0
235,0
236,12
237,16
238,0
239,16
240,0
241,0
242,12
243,0
244,0
245,16
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
