value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,2
31,3
32,4
33,7
34,19
35,27
36,31
37,70
38,92
39,100
40,137
41,158
42,163
43,215
44,189
45,200
46,194
47,225
48,209
49,194
50,185
51,213
52,213
53,205
54,218
55,195
56,245
57,230
58,241
59,245
60,291
61,307
62,320
63,329
64,319
65,349
66,431
67,410
68,454
69,458
70,502
71,540
72,533
73,592
74,588
75,643
76,674
77,726
78,715
79,780
80,796
81,795
82,832
83,933
84,947
85,993
86,1009
87,1062
88,1002
89,1192
90,1147
91,1283
92,1318
93,1329
94,1407
95,1474
96,1436
97,1569
98,1631
99,1691
100,1809
101,1885
102,1874
103,1925
104,1911
105,1975
106,2069
107,2080
108,2187
109,2209
110,2258
111,2392
112,2392
113,2348
114,2470
115,2506
116,2498
117,2588
118,2518
119,2616
120,2679
121,2618
122,2620
123,2660
124,2652
125,2751
126,2644
127,2676
128,2686
129,2573
130,2610
131,2628
132,2490
133,2511
134,2405
135,2517
136,2481
137,2384
138,2284
139,2299
140,2264
141,2191
142,2168
143,2141
144,2020
145,1982
146,2001
147,1957
148,1882
149,1877
150,1771
151,1726
152,1659
153,1648
154,1524
155,1512
156,1366
157,1416
158,1307
159,1260
160,1260
161,1167
162,1156
163,1099
164,1069
165,1036
166,994
167,927
168,902
169,854
170,766
171,799
172,722
173,712
174,674
175,627
176,643
177,588
178,555
179,509
180,482
181,451
182,410
183,347
184,362
185,350
186,342
187,311
188,345
189,256
190,236
191,241
192,213
193,202
194,201
195,191
196,196
197,168
198,159
199,142
200,146
201,121
202,124
203,87
204,104
205,83
206,86
207,85
208,62
209,65
210,57
211,51
212,57
213,61
214,42
215,42
216,35
217,32
218,23
219,21
220,24
221,23
222,26
223,10
224,13
225,14
226,16
227,14
228,12
229,6
230,10
231,11
232,5
233,9
234,4
235,4
236,2
237,1
238,4
239,0
240,1
241,2
242,2
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
