value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,2
85,2
86,0
87,2
88,4
89,4
90,2
91,3
92,4
93,2
94,1
95,2
96,4
97,9
98,4
99,4
100,11
101,11
102,15
103,9
104,10
105,4
106,13
107,15
108,17
109,6
110,18
111,14
112,13
113,20
114,22
115,30
116,36
117,22
118,31
119,28
120,42
121,36
122,44
123,41
124,52
125,49
126,45
127,53
128,48
129,56
130,62
131,74
132,72
133,70
134,69
135,70
136,91
137,81
138,110
139,88
140,103
141,102
142,101
143,126
144,99
145,114
146,129
147,153
148,144
149,132
150,137
151,142
152,176
153,163
154,164
155,198
156,179
157,191
158,221
159,215
160,227
161,218
162,223
163,229
164,249
165,236
166,213
167,214
168,232
169,228
170,247
171,241
172,198
173,209
174,204
175,255
176,211
177,205
178,224
179,197
180,214
181,163
182,168
183,190
184,171
185,178
186,149
187,133
188,112
189,117
190,109
191,112
192,116
193,79
194,81
195,71
196,82
197,69
198,65
199,64
200,54
201,45
202,40
203,42
204,41
205,29
206,25
207,38
208,18
209,20
210,17
211,26
212,18
213,14
214,12
215,8
216,8
217,7
218,2
219,3
220,6
221,7
222,0
223,5
224,2
225,3
226,2
227,2
228,2
229,0
230,0
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
